Número de features TF-IDF: 1526
Top 50 features globales:
                     feature  avg_tfidf
                       fight   0.032905
                         tom   0.025105
                        like   0.019045
                        goat   0.016934
                        good   0.016484
                        just   0.015258
                         say   0.014838
                         man   0.014395
                        duck   0.013675
                         guy   0.013641
                        dana   0.013073
                     fighter   0.012911
                        time   0.012770
emoji_face_with_tears_of_joy   0.012474
                          dc   0.012419
                        want   0.012342
                       think   0.012256
                        know   0.012240
                    aspinall   0.012228
                         win   0.011474
                        look   0.011452
                        beat   0.011392
                        make   0.011172
                        lose   0.009863
                         don   0.009860
                       great   0.009524
                         lol   0.009084
                        love   0.009083
                      retire   0.008319
                        john   0.008098
                    champion   0.007990
                        come   0.007869
                       chael   0.007806
                        need   0.007584
                         let   0.007472
                     respect   0.007403
                      people   0.007387
                        belt   0.007273
                      scared   0.007263
                        talk   0.007202
                         way   0.007174
                         big   0.007157
                       stipe   0.007132
                        shit   0.007002
                         mma   0.006810
                      really   0.006691
                        year   0.006681
                        dude   0.006564
                          vs   0.006564
                       right   0.006533
