token,count,created_at
jon jones,259,2026-07-04 19:23:46
he s,238,2026-07-04 19:23:46
in the,183,2026-07-04 19:23:46
jones is,152,2026-07-04 19:23:46
it s,151,2026-07-04 19:23:46
of the,122,2026-07-04 19:23:46
is a,121,2026-07-04 19:23:46
don t,121,2026-07-04 19:23:46
is the,119,2026-07-04 19:23:46
he is,114,2026-07-04 19:23:46
that s,106,2026-07-04 19:23:46
to fight,105,2026-07-04 19:23:46
the ufc,94,2026-07-04 19:23:46
the goat,85,2026-07-04 19:23:46
doesn t,83,2026-07-04 19:23:46
the best,80,2026-07-04 19:23:46
he was,79,2026-07-04 19:23:46
if he,75,2026-07-04 19:23:46
to be,72,2026-07-04 19:23:46
can t,68,2026-07-04 19:23:46
the fight,68,2026-07-04 19:23:46
this is,66,2026-07-04 19:23:46
to the,65,2026-07-04 19:23:46
want to,62,2026-07-04 19:23:46
didn t,59,2026-07-04 19:23:46
jon is,59,2026-07-04 19:23:46
for the,59,2026-07-04 19:23:46
i m,57,2026-07-04 19:23:46
on the,49,2026-07-04 19:23:46
to see,49,2026-07-04 19:23:46
