token,count,created_at
the,1940,2026-07-04 19:23:46
he,1343,2026-07-04 19:23:46
to,1168,2026-07-04 19:23:46
a,1157,2026-07-04 19:23:46
is,1055,2026-07-04 19:23:46
and,1010,2026-07-04 19:23:46
jones,834,2026-07-04 19:23:46
jon,710,2026-07-04 19:23:46
s,695,2026-07-04 19:23:46
of,684,2026-07-04 19:23:46
that,682,2026-07-04 19:23:46
i,668,2026-07-04 19:23:46
it,592,2026-07-04 19:23:46
in,580,2026-07-04 19:23:46
fight,565,2026-07-04 19:23:46
t,515,2026-07-04 19:23:46
you,510,2026-07-04 19:23:46
his,490,2026-07-04 19:23:46
this,474,2026-07-04 19:23:46
for,436,2026-07-04 19:23:46
tom,387,2026-07-04 19:23:46
him,383,2026-07-04 19:23:46
was,371,2026-07-04 19:23:46
be,296,2026-07-04 19:23:46
but,290,2026-07-04 19:23:46
on,286,2026-07-04 19:23:46
all,281,2026-07-04 19:23:46
like,279,2026-07-04 19:23:46
not,276,2026-07-04 19:23:46
so,240,2026-07-04 19:23:46
