feature,avg_tfidf
fight,0.03290459772055037
tom,0.0251048441350933
like,0.019044841988793623
goat,0.016933975631726567
good,0.016484483920792492
just,0.01525849779166955
say,0.01483812929160815
man,0.014395400085202185
duck,0.01367464676358865
guy,0.013641422200018355
dana,0.013072862030899222
fighter,0.012911047080405962
time,0.012769980364749299
emoji_face_with_tears_of_joy,0.012473929367442882
dc,0.012418656313984413
want,0.012342490549115279
think,0.012256097224297872
know,0.012239897711360151
aspinall,0.012228009910434398
win,0.011474025695962783
look,0.011452024039903667
beat,0.011391681852257389
make,0.011172429810081364
lose,0.009862810805103614
don,0.009860118123473073
great,0.009523916182436613
lol,0.009084198678053832
love,0.009082825520963109
retire,0.008319257496301068
john,0.00809756098378831
champion,0.007989848494976593
come,0.007869226656537696
chael,0.007805918106521011
need,0.007583734727525336
let,0.007471845239248973
respect,0.00740278973306019
people,0.007387375567817471
belt,0.00727311684860651
scared,0.00726261837249898
talk,0.007201592221092443
way,0.0071742663823436675
big,0.007156946670344275
stipe,0.007131988475538357
shit,0.007002351886871498
mma,0.006809805530802622
really,0.006691346792830219
year,0.006680598806626052
dude,0.00656404261786238
vs,0.006564006091261269
right,0.006532550440414423
