id,text_raw,text_clean
0,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,jon jones is the goat  it is so unbelievably hard what he did  he became champ at 23 and stay champion until today  he fought the best lightweight champions in their primes  he is a double champ with multiple title defenses  lead in the history in title defenses  basically undefeated  congrat to jon jones
1,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",you can sense the aggression from jon  dont touch me no friendly face off  he did not want tom to be there at all
2,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",i guess this answers the question    if you put jones and aspinall in a room who would come out first  the answer is tom  duck killa  aspinall
3,Jones won the round but lost the fight,jones won the round but lost the fight
4,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",it doesn t matter anyway jon  you beat his ass😂😂his kids can look back now and say their dad got beat up by an  asshole  sucks for him  not you🤝
5,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,dc is one of the few people on earth that could tank a bomb or takedown from bones lol
6,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,no knees were down   i don t see how it was illegal  i do however see alot of jones haters in these comments though
7,Ngannou Aspinall,ngannou aspinall
8,RIP💙,rip💙
9,Jon could easily kill him if there was no referee,jon could easily kill him if there was no referee
10,"Jon had years to fight Francis and didn't.  He's lying.  He's happy to talk about a fight, knowing that Francis is currently under contract with PFL, so Jon can talk without actually fighting.  That's what he does now.",jon had years to fight francis and didn t   he s lying   he s happy to talk about a fight  knowing that francis is currently under contract with pfl  so jon can talk without actually fighting   that s what he does now
11,Man looks older than Udonis,man looks older than udonis
12,He is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,he is a quitter a lot of people wish they were in his position shame on him for even competing in this sport
13,"This fight should have never happened, jones was x3 faster.",this fight should have never happened  jones was x3 faster
14,"Jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder. Pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho.

Nada que ver con Conor o Topuria.. u Omalley.. etc. Ellos me caen mal y no los considero muy clmpletos.","jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder  pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho 

nada que ver con conor o topuria  u omalley  etc  ellos me caen mal y no los considero muy clmpletos"
15,"And jones does everything he can to avoid it, including retiring himself 😅😅😂😂😂😂",and jones does everything he can to avoid it  including retiring himself 😅😅😂😂😂😂
16,"Tell some idiots who compare ciryl can fight with francis ngannou, Tell them to compare jone jones fight with stipe now... francis finished him in seconds round why stipe was not old as now. Shame to jone jones and his fans.. francis ngannou vs ciryl cane , francis ngannou was even sick! He had an operation on he's knee... francis ngannou will kill jone jones.",tell some idiots who compare ciryl can fight with francis ngannou  tell them to compare jone jones fight with stipe now  francis finished him in seconds round why stipe was not old as now  shame to jone jones and his fans  francis ngannou vs ciryl cane   francis ngannou was even sick  he had an operation on he s knee  francis ngannou will kill jone jones
17,Jon never beat Chael wtf is this fake news,jon never beat chael wtf is this fake news
18,This is why people love Paddy,this is why people love paddy
19,It’s a fight let them knee .Jon jones the best ever,it s a fight let them knee  jon jones the best ever
20,"YOUR DAD AND SISTER HATE YOU
YOUR DAUGHTERS WANT TO CHANGE EXPENSIV E","your dad and sister hate you
your daughters want to change expensiv e"
21,No chance on beating Fury or Wilder.,no chance on beating fury or wilder
22,Ok so did he call it,ok so did he call it
23,"Чемпион, Чемпионов!!! Легенда!!!",чемпион  чемпионов  легенда
24,"I hope it’s all hype to make the fight bigger and that he does end up fighting Tom, I’m not sure thou",i hope it s all hype to make the fight bigger and that he does end up fighting tom  i m not sure thou
25,That look on Jon’s face when they robbed him in the Mat Hamil fight was a look we never saw again . Jones loose . Jones ain’t no looser,that look on jon s face when they robbed him in the mat hamil fight was a look we never saw again   jones loose   jones ain t no looser
26,Real champ 💪🏻,real champ 💪🏻
27,The ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer All.yellow 😅,the ufc should strip him of the belt or we all should start watching cage warriors and u no that song by cold play they wer all yellow 😅
28,And look at him now.. A proper 🦆,and look at him now  a proper 🦆
29,"Wow.  Uploaded by the UFC??? 
Thank you.","wow   uploaded by the ufc  
thank you"
30,Легенда!,легенда
31,If Reyes hadn't lost that fight he would have been a Bonafide star of UFC ...,if reyes hadn t lost that fight he would have been a bonafide star of ufc
