commentId,content,publishedTime,replyLevel,authorButtonA11y,imageAttachmentMaxHeight,video_id,likeCountLiked,likeCountDisliked,replyCount
UgyWH3doFWjscBQI2y14AaABAg,Jon Jones is the GOAT. It is so unbelievably hard what he did. He became champ at 23 and stay champion until today. He fought the best lightweight champions in their primes. He is a double champ with multiple title defenses. Lead in the history in title defenses. Basically undefeated. Congrat to Jon Jones.,7 months ago,0,@alexlilano1931,,frZnxeNFIL0,35,,
Ugz-FPSkgIuyqKWTPFZ4AaABAg,"You can sense the aggression from Jon, dont touch me no friendly face off. He did not want Tom to be there at all.",11 months ago,0,@meankronen8217,,4rsOsYW8XBI,1,,
UgxhZsAMGiBBGqlP_KJ4AaABAg,"I guess this answers the question, "" If you put Jones and Aspinall in a room who would come out first?"" The Answer is Tom ""Duck Killa"" Aspinall.",7 months ago,0,@Rizaar27,,ViBSUxVp1Q0,1,,
Ugw7wY8z6uxCGRF2Nup4AaABAg,Jones won the round but lost the fight,3 years ago,0,@myerx97,,BV3FcAecXL0,1,,
UgwXUyUAn8lAul4eX_R4AaABAg,"It doesn’t matter anyway jon, you beat his ass😂😂his kids can look back now and say their dad got beat up by an “asshole” sucks for him, not you🤝",6 months ago,0,@Bronisbetter,,jul2OwX2snE,2,,
UgxxfyY8lslwOxX78K14AaABAg,Dc is one of the few people on earth that could tank a bomb or takedown from bones lol,2 years ago,0,@Smoothalcoholic,,rFpVdm8Jcdc,1,,
Ugx8UdUMRAawXF78FIh4AaABAg,No knees were down ... I don't see how it was illegal.... I do however see alot of Jones haters in these comments though,1 year ago,0,@axxtradamus6492,,hTOvkPBG3dU,1,,
Ugz1Dxf-3tUFwplC7WN4AaABAg,Ngannou Aspinall,1 month ago,0,@UltraVioletVisions-ms9pc,,9PnEJHcCwGY,5,,
UgzOQNvmFC0n0HK9DY54AaABAg,RIP💙,2 years ago,0,@specialforcesguy,,bmBjcDdfneM,1,,
Ugxri1ntXEG0_BEl-tB4AaABAg,Jon could easily kill him if there was no referee,1 year ago,0,@killakitakong509,,rFpVdm8Jcdc,1,,
UgzxDYS9xF3lddoklI94AaABAg,"Jon had years to fight Francis and didn't.  He's lying.  He's happy to talk about a fight, knowing that Francis is currently under contract with PFL, so Jon can talk without actually fighting.  That's what he does now.",2 weeks ago,0,@joshuabela5374,,E9x8zomyP7c,16,,
Ugyl9p9egSloilXgMil4AaABAg,Man looks older than Udonis,1 year ago,0,@someguy8116,,gbluv8qId64,1,,
UgymVOetVBFYsB-kD1Z4AaABAg,He is a quitter a lot of people wish they were in his position shame on him for even competing in this sport,3 years ago,0,@hussamadlouni7775,,MKpVlOr6h9A,1,,
Ugykhgw0s-Ithk2XqZN4AaABAg,"This fight should have never happened, jones was x3 faster.",6 months ago,0,@matthewlirot2743,,frZnxeNFIL0,1,,
Ugwv41Cepokvl7-09Mx4AaABAg,"Jon bones siempre me ha precido una mi3rda de persona y siempre lo quiero ver perder. Pero es taan bueno y completo en su combate que a fin de cuentas lo termino respetando mucho.

Nada que ver con Conor o Topuria.. u Omalley.. etc. Ellos me caen mal y no los considero muy clmpletos.",7 months ago,0,@LucielZ1,,4rsOsYW8XBI,1,,
UgwUZHuFP2rY0PDKymx4AaABAg,"And jones does everything he can to avoid it, including retiring himself 😅😅😂😂😂😂",8 months ago,0,@kingfer2658,,cmNqIl2l5uA,2,,
UgxDvRQs8f6bZIogtq54AaABAg,"Tell some idiots who compare ciryl can fight with francis ngannou, Tell them to compare jone jones fight with stipe now... francis finished him in seconds round why stipe was not old as now. Shame to jone jones and his fans.. francis ngannou vs ciryl cane , francis ngannou was even sick! He had an operation on he's knee... francis ngannou will kill jone jones.",7 months ago,0,@blaisefotsing8730,,kXP85_O0SBk,1,,
UgyQ8469red7eBwGjl94AaABAg,Jon never beat Chael wtf is this fake news,2 years ago,0,@Subzero0110,,8lKirrARb0w,1,,
UgyxKihA-OFDk2dBodJ4AaABAg,This is why people love Paddy,2 years ago,0,@WillBixby1,,rIp-IQy4Lic,1,,
UgzLFiy-ZMOVl4HN_Nt4AaABAg,It’s a fight let them knee .Jon jones the best ever,1 year ago,0,@Big.daddy.K1985,,hTOvkPBG3dU,1,,
